gsym	rank	fdr	lfc
SNX27	1	0.000619	2.6024
VPS29	2	0.000619	2.5955
VPS35	3	0.000619	2.4619
ATP6AP1	4	0.000619	2.1356
ATP6AP2	5	0.000619	2.0384
ATP6V0C	6	0.002666	1.8381
COMMD3	7	0.000619	1.7844
COMMD3-BMI1	8	0.000619	1.7324
ATP6V1H	9	0.002666	1.6919
VPS26A	10	0.037579	1.6474
ACTR3	11	0.053123	1.6333
ACE2	12	0.053722	1.6266
ATP6V1C1	13	0.053123	1.5872
ATP6V1B2	14	0.002666	1.5752
ATP6V1G1	15	0.013923	1.5741
SPEN	16	0.00165	1.5609
CCDC22	17	0.000619	1.5539
CTSL1	18	0.010891	1.5125
UVRAG	19	0.334777	1.4536
NUFIP1	20	0.653972	1.4502
HDAC9	21	0.070502	1.4339
COMMD2	22	0.003182	1.433
HAL	23	0.770843	1.4281
KIAA1033	24	0.002475	1.4035
RNF4	25	0.653972	1.4
ATP6V0B	26	0.034182	1.3773
IL17D	27	0.811778	1.3217
CCDC93	28	0.065594	1.3099
COMMD10	29	0.606782	1.2824
SRSF1	30	0.650371	1.27
ATP6V0D1	31	0.115754	1.251
C11orf74	32	0.053123	1.2438
COL11A1	33	0.766175	1.2354
SOSTDC1	34	0.773918	1.2268
PIK3R4	35	0.618435	1.2263
USP33	36	0.129125	1.2199
CTSL	37	0.016016	1.1979
COMMD4	38	0.494843	1.1835
PGBD4	39	0.606782	1.1714
CHST10	40	0.644397	1.1615
RAB7A	41	0.185272	1.1557
ARPC4	42	0.081284	1.1543
SIAH1	43	0.76879	1.1393
SAMD15	44	0.658142	1.129
FUNDC2	45	0.653972	1.1249
CCDC74A	46	0.76879	1.1237
AP1G2	47	0.499799	1.1182
ETV1	48	0.732314	1.1116
CYB5R4	49	0.770843	1.1075
ACTR2	50	0.270381	1.1027
TNIP3	51	0.690185	1.102
GEMIN2	52	0.877158	1.1016
LRFN5	53	0.465722	1.0934
ATPAF1	54	0.76879	1.0884
ORAI2	55	0.653972	1.0871
PCDH17	56	0.090192	1.0819
GNGT1	57	0.768361	1.0732
SLC38A8	58	0.658251	1.0669
STX7	59	0.653972	1.0609
KIAA0319	60	0.770843	1.0597
LLPH	61	0.860741	1.0584
RNF187	62	0.653972	1.0492
PPP1CB	63	0.670265	1.0425
MYRIP	64	0.650371	1.042
FAM211A	65	0.672734	1.0402
BCHE	66	0.658251	1.0372
PODN	67	0.706104	1.0337
REV1	68	0.768361	1.0316
TMEM199	69	0.618435	1.0246
RASA3	70	0.794615	1.0245
CD1D	71	0.618485	1.0234
AFF2	72	0.653972	1.0194
ZNF639	73	0.740255	1.0136
GRID1	74	0.334777	1.0033
MBD6	75	0.852724	1.0016
SEMA6A	76	0.776672	1.0008
