ORF1a	ORF1a	NC_045512.2	+	265	13483	265	13483	1	265,	13483,
ORF1b	ORF1b	NC_045512.2	+	13467	21555	13467	21555	1	13467,	21555,
S	S	NC_045512.2	+	21562	25384	21562	25384	1	21562,	25384,
ORF3a	ORF3a	NC_045512.2	+	25392	26220	25392	26220	1	25392,	26220,
E	E	NC_045512.2	+	26244	26472	26244	26472	1	26244,	26472,
M	M	NC_045512.2	+	26522	27191	26522	27191	1	26522,	27191,
ORF6	ORF6	NC_045512.2	+	27201	27387	27201	27387	1	27201,	27387,
ORF7a	ORF7a	NC_045512.2	+	27393	27759	27393	27759	1	27393,	27759,
ORF7b	ORF7b	NC_045512.2	+	27755	27887	27755	27887	1	27755,	27887,
ORF8	ORF8	NC_045512.2	+	27893	28259	27893	28259	1	27893,	28259,
N	N	NC_045512.2	+	28273	29533	28273	29533	1	28273,	29533,
ORF10	ORF10	NC_045512.2	+	29557	29674	29557	29674	1	29557,	29674,
5'UTR	5'UTR	NC_045512.2	+	0	265	0	265	1	0,	265,
3'UTR	3'UTR	NC_045512.2	+	29675	29903	29675	29903	1	29675,	29903,
